before,after
's,s
1994,nineteen ninety four
1998,nineteen ninety eight
DC,d c
15-May-13,the fifteenth of may twenty thirteen
1871,eighteen seventy one
1986,nineteen eighty six
PDF,p d f
2013,twenty thirteen
"October 17, 2007",october seventeenth two thousand seven
290s,two nineties
Fw,f w
200,two hundred
"November 25, 1970",november twenty fifth nineteen seventy
"December 1, 1970",december first nineteen seventy
Sep-11,september eleventh
"September 18, 1989",september eighteenth nineteen eighty nine
19-Jul-10,the nineteenth of july twenty ten
D,D
1,one
1060513,one million sixty thousand five hundred thirteen
&,and
"April 29, 2012",april twenty ninth twenty twelve
PDF,p d f
"December 26, 2013",december twenty sixth twenty thirteen
09-Mar-16,the ninth of march twenty sixteen
12-May-14,the twelfth of may twenty fourteen
2015,twenty fifteen
13-Oct-10,the thirteenth of october twenty ten
21-Feb-15,the twenty first of february twenty fifteen
l',l
1937,nineteen thirty seven
L. A.,l a
B. J.,b j
1999,nineteen ninety nine
2,two
2,two
2,two
14-Apr-13,the fourteenth of april twenty thirteen
2007,two thousand seven
F,F
121,one hundred twenty one
CG,c g
2009,two thousand nine
Sep-20,september nineteen twenty
22,twenty two
"January 5, 2015",january fifth twenty fifteen
23-May-13,the twenty third of may twenty thirteen
1940s,nineteen forties
CDC,c d c
1952,nineteen fifty two
1968,nineteen sixty eight
"May 27, 2010",may twenty seventh twenty ten
"August 30, 2015",august thirtieth twenty fifteen
19-Oct-11,the nineteenth of october twenty eleven
1st,first
"14,000",fourteen thousand
15,fifteen
2016,twenty sixteen
II,two
15-May-89,the fifteenth of may nineteen eighty nine
13-May-12,the thirteenth of may twenty twelve
1919,nineteen nineteen
2,two
$3 billion,three billion dollars
NDS,n d s
28,twenty eight
J.,j
"September 3, 2014",september third twenty fourteen
1950,nineteen fifty
18-Jun-12,the eighteenth of june twenty twelve
737,seven three seven
1993,nineteen ninety three
44,forty four
"July 25, 1956",july twenty fifth nineteen fifty six
"October 28, 2012",october twenty eighth twenty twelve
January 1857,january eighteen fifty seven
19-Oct,the nineteenth of october
10,ten
20-Oct-95,the twentieth of october nineteen ninety five
VTA,v t a
25-Jun-11,the twenty fifth of june twenty eleven
L.,l
2005,two thousand five
9 April 1883,the ninth of april eighteen eighty three
1779,seventeen seventy nine
"June 17, 2012",june seventeenth twenty twelve
J.,j
2003,two thousand three
1907,nineteen o seven
1940,nineteen forty
CCAr,c c a r
1048,ten forty eight
1049,ten forty nine
07-Apr-09,the seventh of april two thousand nine
UN,u n
US,u s
PPC,p p c
1976,nineteen seventy six
4,four
10 ft,ten feet
16-Nov-08,the sixteenth of november two thousand eight
AZ,a z
70%,seventy percent
LPS,l p s
AZ,a z
1st,first
57,fifty seven
NMB,n m b
400,four hundred
U.S.,u s
2012,twenty twelve
23.5,twenty three point five
9.3,nine point three
TL,t l
03-Apr-15,the third of april twenty fifteen
11,eleven
12,twelve
09-Mar-14,the ninth of march twenty fourteen
pdf,p d f
Ph,p h
29-Dec-03,the twenty ninth of december two thousand three
29-Oct-12,the twenty ninth of october twenty twelve
"September 13, 2010",september thirteenth twenty ten
J.H.,j h
1984,nineteen eighty four
Cd,c d
02-Mar-09,the second of march two thousand nine
25-Feb-16,the twenty fifth of february twenty sixteen
UK,u k
CABI,c a b i
2015,twenty fifteen
2006,two thousand six
-,-
26 03 09,two six sil o three sil o nine
-,-
1,one
16th,sixteenth
"March 21, 2005",march twenty first two thousand five
31-Mar-13,the thirty first of march twenty thirteen
91,ninety one
193,one hundred ninety three
194,one hundred ninety four
APJ,a p j
1965,nineteen sixty five
360,three hundred sixty
2005,two thousand five
255,two hundred fifty five
"August 31, 2015",august thirty first twenty fifteen
3,three
3,three
1989,nineteen eighty nine
1815,eighteen fifteen
03-May-10,the third of may twenty ten
1978,nineteen seventy eight
30-Mar-10,the thirtieth of march twenty ten
&,and
P.C.,p c
1990s,nineteen nineties
85,eighty five
2011,twenty eleven
5,five
CEO,c e o
Nov-15,november twenty fifteen
"March 10, 2011",march tenth twenty eleven
"January 19, 2013",january nineteenth twenty thirteen
mRNAs,m r n a's
02-Feb-15,the second of february twenty fifteen
15-May-15,the fifteenth of may twenty fifteen
AFI's,a f i's
100,one hundred
F.,f
16-09-2009,the sixteenth of september two thousand nine
6th,sixth
AD,a d
5,five
2012,twenty twelve
9,nine
1910,nineteen ten
"1,206",one thousand two hundred six
subsp,s u b s p
J.,j
1898,eighteen ninety eight
&,and
Glos,g l o's
40.2,forty point two
2006,two thousand six
570,five hundred seventy
584,five hundred eighty four
1558,fifteen fifty eight
1560,fifteen sixty
Jun-09,june two thousand nine
D.C.,d c
35.2,thirty five point two
2005,two thousand five
431,four hundred thirty one
441,four hundred forty one
Jun-29,june twenty ninth
21,twenty one
39,thirty nine
1996,nineteen ninety six
21,twenty one
151,one hundred fifty one
151,one hundred fifty one
2007,two thousand seven
pp,p p
2009,two thousand nine
166,one hundred sixty six
13-Jul-13,the thirteenth of july twenty thirteen
-,-
1,one
14-09-2005,the fourteenth of september two thousand five
LLC,l l c
1990,nineteen ninety
3,three
1553,fifteen fifty three
43,forty three
1956,nineteen fifty six
2003,two thousand three
1967,nineteen sixty seven
19-Aug-11,the nineteenth of august twenty eleven
1924,nineteen twenty four
&,and
5th,fifth
19 February 1861,the nineteenth of february eighteen sixty one
26-Apr-15,the twenty sixth of april twenty fifteen
ICC's,i c c's
"December 15, 2008",december fifteenth two thousand eight
3,three
3rd,third
36000,thirty six thousand
"September 7, 2006",september seventh two thousand six
40,forty
2,two
40,forty
2,two
nama,n a m a
1990,nineteen ninety
22-09-2008,the twenty second of september two thousand eight
10,ten
-,-
2008,two thousand eight
G.,g
2012,twenty twelve
"May 28, 2010",may twenty eighth twenty ten
1954,nineteen fifty four
1959,nineteen fifty nine
2011,two thousand eleven
12,twelve
17,seventeen
56 ft,fifty six feet
"September 9, 2007",september ninth two thousand seven
09-Jan-16,the ninth of january twenty sixteen
16th,sixteenth
AD,a d
"6,26,286",six hundred twenty six thousand two hundred eighty six
"11,20,757",one million one hundred twenty thousand seven hundred fifty seven
10 March 1535,the tenth of march fifteen thirty five
CSU,c s u
L.,l
1998,nineteen ninety eight
5:58 p.m.,five fifty eight p m
JJ,j j
28-Sep-12,the twenty eighth of september twenty twelve
"May 1, 2007",may first two thousand seven
-,-
1854,eighteen fifty four
P.,p
PFLAG,p f l a g
09-Jul-12,the ninth of july twenty twelve
"January 2, 2010",january second twenty ten
04-Apr-09,the fourth of april two thousand nine
1538,fifteen thirty eight
01-Jan-13,the first of january twenty thirteen
1994,one nine nine four
27,twenty seven
29,twenty nine
1988,nineteen eighty eight
4,four
1988,nineteen eighty eight
6,six
H.,h
Sep-99,september nineteen ninety nine
1912,nineteen twelve
1972,nineteen seventy two
T.,t
52/3m,fifty two thirds of a meter
$5M,five million dollars
15-Mar-76,the fifteenth of march nineteen seventy six
U.S.,u s
"August 7, 2003",august seventh two thousand three
1767,seventeen sixty seven
25,twenty five
-,-
33,thirty three
305,three hundred five
3,three
US,u s
130,one hundred thirty
R,R
1985,nineteen eighty five
"June 8, 2014",june eighth twenty fourteen
7:15 AM,seven fifteen a m
16-Nov-15,the sixteenth of november twenty fifteen
737,seven hundred thirty seven
8,eight
19-Feb-09,the nineteenth of february two thousand nine
US,u s
SD-,s d
1994,nineteen ninety four
E,E
1,one
"February 12, 2013",february twelfth twenty thirteen
04-Dec-11,the fourth of december twenty eleven
"December 5, 2010",december fifth twenty ten
2011,twenty eleven
2005,two thousand five
"September 13, 2012",september thirteenth twenty twelve
17-Apr-15,the seventeenth of april twenty fifteen
"September 5, 1927",september fifth nineteen twenty seven
ISBN,i s b n
0-908943-27,o sil nine o eight nine four three sil two seven
-,-
1881,eighteen eighty one
1982,nineteen eighty two
19,nineteen
18-03-2008,the eighteenth of march two thousand eight
10,ten
14-Sep-13,the fourteenth of september twenty thirteen
"May 20, 2004",may twentieth two thousand four
R.,r
I. D.,i d
1995,nineteen ninety five
1945,nineteen forty five
2006,two thousand six
320,three hundred twenty
68,sixty eight
NPS,n p s
11-Dec-14,the eleventh of december twenty fourteen
9,nine
8,eight
1946,nineteen forty six
"July 16, 2014",july sixteenth twenty fourteen
14,fourteen
"March 18, 2015",march eighteenth twenty fifteen
26-Oct-11,the twenty sixth of october twenty eleven
1822,eighteen twenty two
19-Oct-11,the nineteenth of october twenty eleven
RUC,r u c
Dec-06,december two thousand six
PDP,p d p
2007,two thousand seven
Jun-14,june twenty fourteen
07-Sep-14,the seventh of september twenty fourteen
CCG,c c g
1850,eighteen fifty
1967,nineteen sixty seven
8th,eighth
A.G.,a g
CDK,c d k
7,seven
-,-
MAT,m a t
1,one
36,thirty six
kDa,k d a
U.S.,u s
III,the third
20-May-11,the twentieth of may twenty eleven
1986,nineteen eighty six
1990,nineteen ninety
1932,nineteen thirty two
26-Jul-11,the twenty sixth of july twenty eleven
18-Oct-11,the eighteenth of october twenty eleven
RUC,r u c
Oct-06,october sixth
PDC,p d c
1997,nineteen ninety seven
2nd,second
1876,eighteen seventy six
1944,nineteen forty four
Jan-00,january nineteen hundred
Prvo,p r v o
TV,t v
"January 4, 2010",january fourth twenty ten
UFO,u f o
IAH,i a h
"February 23, 2012",february twenty third twenty twelve
2014,twenty fourteen
963,nine hundred sixty three
1923,nineteen twenty three
"September 23, 2012",september twenty third twenty twelve
600,six hundred
27 cm,twenty seven centimeters
15-Jun-13,the fifteenth of june twenty thirteen
SC,s c
A.,a
"December 22, 2014",december twenty second twenty fourteen
38.2,thirty eight point two
2009,two thousand nine
356,three hundred fifty six
364,three hundred sixty four
28-12-2013,the twenty eighth of december twenty thirteen
IWPR'S,i w p r s
1787,seventeen eighty seven
1,one
1,one
Nov-72,november nineteen seventy two
34,thirty four
2009,two thousand nine
41,forty one
1980s,nineteen eighties
1985,nineteen eighty five
MP,m p
"February 16, 2008",february sixteenth two thousand eight
1970s,nineteen seventies
RWP,r w p
"September 21, 2009",september twenty first two thousand nine
02-Feb-50,the second of february nineteen fifty
20-Jul-13,the twentieth of july twenty thirteen
4,four
DVD,d v d
DVD,d v d
23-Mar-16,the twenty third of march twenty sixteen
&,and
76.6 mm,seventy six point six millimeters
3.02,three point o two
LPGA,l p g a
1978,nineteen seventy eight
79,seventy nine
2014,twenty fourteen
187,one hundred eighty seven
219,two hundred nineteen
2007,two thousand seven
07-Jun-04,the seventh of june two thousand four
10,ten
1990,nineteen ninety
16,sixteen
34,thirty four
1200,twelve hundred
UTC,u t c
Sep-26,september twenty sixth
2 May.,the second of may
50,fifty
17,seventeen
2005,two thousand five
1,one
1999,nineteen ninety nine
pg,p g
1928,nineteen twenty eight
1905,nineteen o five
1997,nineteen ninety seven
3 kg,three kilograms
7,seven
1989,nineteen eighty nine
77th,seventy seventh
1987,nineteen eighty seven
1500m,one thousand five hundred meters
3000m,three thousand meters
19-Nov-80,the nineteenth of november nineteen eighty
P,P
5,five
86,eighty six
12-Dec-12,the twelfth of december twenty twelve
11-Mar-15,the eleventh of march twenty fifteen
I.,i
1881,eighteen eighty one
85,eighty five
"September 30, 2010",september thirtieth twenty ten
1985,nineteen eighty five
pp,p p
C.,c
&,and
M.,m
23-Mar-11,the twenty third of march twenty eleven
"October 18, 2010",october eighteenth twenty ten
26-10-2001,the twenty sixth of october two thousand one
T.,t
2005,two thousand five
IFSA,i f s a
IFSA,i f s a
BSM,b s m
1969,nineteen sixty nine
M.C.,m c
1990,nineteen ninety
DVD,d v d
B&W,b and w
Х,Х
о,о
ж,ж
д,д
е,е
н,н
и,и
е,е
з,з
а,а
т,т
р,р
и,и
м,м
о,о
р,р
я,я
10,ten
Aug-02,august second
19-Jun-11,the nineteenth of june twenty eleven
20,twenty
-,-
"March 29, 2009",march twenty ninth two thousand nine
16-Oct-13,the sixteenth of october twenty thirteen
U.S.,u s
17,seventeen
Jul-32,july nineteen thirty two
MCC,m c c
1973,nineteen seventy three
14 August 1729,the fourteenth of august seventeen twenty nine
2000s,two thousands
23-Jul-07,the twenty third of july two thousand seven
1935,nineteen thirty five
&,and
2,two
Jan-01,january first
08-Feb-14,the eighth of february twenty fourteen
1225,twelve twenty five
100,one hundred
U.K.,u k
"July 26, 2014",july twenty sixth twenty fourteen
"October 4, 2011",october fourth twenty eleven
1876,eighteen seventy six
1878,eighteen seventy eight
MMCS,m m c s
CNEF,c n e f
PDF,p d f
20th,twentieth
01-Sep-39,the first of september nineteen thirty nine
II,two
"July 8, 2010",july eighth twenty ten
2014,twenty fourteen
70,seventy
16,sixteen
08-Oct-06,the eighth of october two thousand six
21-Feb-14,the twenty first of february twenty fourteen
13 Feb. 2011,the thirteenth of february twenty eleven
4,four
&,and
2003,two thousand three
6,six
11,eleven
pp,p p
0.4,point four o
42,forty two
17th,seventeenth
2009,two thousand nine
1625,sixteen twenty five
"September 11, 2010",september eleventh twenty ten
23-Aug-11,the twenty third of august twenty eleven
Rs,r's
R.,r
D.,d
I.,i
R.,r
M.,m
P.,p
&,and
2004,two thousand four
20th,twentieth
Tuesday 15 December 2015,tuesday the fifteenth of december twenty fifteen
DSTN,d s t n
TFT,t f t
$400,four hundred dollars
L. E.,l e
E. A.,e a
1982,nineteen eighty two
21-May-11,the twenty first of may twenty eleven
21-02-2007,the twenty first of february two thousand seven
1967,nineteen sixty seven
04-Dec-15,the fourth of december twenty fifteen
"December 28, 2011",december twenty eighth twenty eleven
24-Nov-28,the twenty fourth of november nineteen twenty eight
E.,e
S.,s
F.,f
2003,two thousand three
Nov-58,november nineteen fifty eight
Qed,q e d
Semsw,s e m s w
qed,q e d
IV,four
15,fifteen
1990,nineteen ninety
1990,nineteen ninety
&,and
"February 27, 2015",february twenty seventh twenty fifteen
"August 11, 2009",august eleventh two thousand nine
C.,c
G.,g
R.,r
S.,s
2007,two thousand seven
1991,nineteen ninety one
"1,087",one thousand eighty seven
747,seven hundred forty seven
22,twenty two
32.2,thirty two point two
2015,twenty fifteen
204,two hundred four
210,two hundred ten
2002,two thousand two
2012,twenty twelve
2.5 percent,two point five percent
3,three
-,-
"October 4, 2011",october fourth twenty eleven
10-Oct-11,the tenth of october twenty eleven
"1,500th",one thousand five hundredth
747,seven four seven
Jun-14,june twenty fourteen
1999,nineteen ninety nine
"November 1, 2015",november first twenty fifteen
Dec-01,december two thousand one
26-Nov-31,the twenty sixth of november nineteen thirty one
"January 8, 2014",january eighth twenty fourteen
2008,two thousand eight
30,thirty
1986,nineteen eighty six
-,-
100,one o o
BSR,b s r
-300,minus three hundred
"September 8, 2013",september eighth twenty thirteen
"April 26, 1930",april twenty sixth nineteen thirty
17-Apr-14,the seventeenth of april twenty fourteen
31-Dec-11,the thirty first of december twenty eleven
20-Dec-06,the twentieth of december two thousand six
J.,j
P.,p
1969,nineteen sixty nine
3 km2,three square kilometers
28-Aug-06,the twenty eighth of august two thousand six
15-Nov-07,the fifteenth of november two thousand seven
1939,nineteen thirty nine
1945,nineteen forty five
2009,two thousand nine
1889,eighteen eighty nine
12,twelve
-,-
CCGS,c c g s
S.,s
-,-
1990,nineteen ninety
pp,p p
1551,fifteen fifty one
16th,sixteenth
1960,nineteen sixty
1961,nineteen sixty one
1961,nineteen sixty one
JS,j s
Oct-04,october two thousand four
1860s,eighteen sixties
-,-
TX,t x
1972,nineteen seventy two
ICF,i c f
2009,two thousand nine
1993,nineteen ninety three
2011,twenty eleven
2005,two thousand five
1992,nineteen ninety two
49,forty nine
"December 13, 2007",december thirteenth two thousand seven
USA,u s a
1991,nineteen ninety one
BA,b a
1972,nineteen seventy two
49m,forty nine meters
1978,nineteen seventy eight
D.C.,d c
Enn,e n n
18-Sep,eighteen ninths
19,nineteen
"15, ",fifteen
D.,d
2012,twenty twelve
S.,s
1,one
325 million,three hundred twenty five million
"51,700,000 m3",fifty one million seven hundred thousand cubic meters
19,nineteen
"12, ",twelve
19,nineteen
"13,",thirteen
16-Nov-09,the sixteenth of november two thousand nine
U.N.,u n
NCU,n c u
1962,nineteen sixty two
"May 24, 2011",may twenty fourth twenty eleven
"January 31, 2001",january thirty first two thousand one
1953,nineteen fifty three
1990,nineteen ninety
PDF,p d f
"January 30, 1997",january thirtieth nineteen ninety seven
BBC,b b c
10-06-2005,the tenth of june two thousand five
"January 15, 2012",january fifteenth twenty twelve
Apr-54,april nineteen fifty four
1989,nineteen eighty nine
1967,nineteen sixty seven
2001,two thousand one
3 June 1887,the third of june eighteen eighty seven
22-10-2007,the twenty second of october two thousand seven
7,seven
-,-
7,seven
UTI,u t i
7,seven
UTI,u t i
"April 12, 2011",april twelfth twenty eleven
18-09-2008,the eighteenth of september two thousand eight
2,two
1947,nineteen forty seven
"3,00,000",three hundred thousand
"October 12, 2010",october twelfth twenty ten
11,eleven
22,twenty two
Mar-03,march two thousand three
-,-
4,four
R.D.,r d
U.,u
1999,nineteen ninety nine
67,sixty seven
01-Jan-16,the first of january twenty sixteen
trove.nla.gov.au,t r o v e dot n l a dot g o v dot a u
£5m,five million pounds
憑,憑
英,英
正,正
"August 3, 1970",august third nineteen seventy
2005,two thousand five
1960s,nineteen sixties
ISBN,i s b n
978-0-812-81275-6 OCLC 15585961,nine seven eight sil o sil eight one two sil eight one two seven five sil six sil o c l c sil one five five eight five nine six one
FDA,f d a
"July 11, 2013",july eleventh twenty thirteen
27-Jan-16,the twenty seventh of january twenty sixteen
"June 21, 2013",june twenty first twenty thirteen
愛,愛
新,新
覺,覺
羅,羅
溥,溥
儀,儀
17-Nov-09,the seventeenth of november two thousand nine
20,twenty
20-Jul-09,the twentieth of july two thousand nine
18-Jul-09,the eighteenth of july two thousand nine
08-Mar-10,the eighth of march twenty ten
2002,two thousand two
2004,two thousand four
05-07-2007,the fifth of july two thousand seven
06-Nov-13,the sixth of november twenty thirteen
1998,nineteen ninety eight
2006,two thousand six
2006,two thousand six
2,two
14-May-14,the fourteenth of may twenty fourteen
2004,two thousand four
"JULY 22, 2004",july twenty second two thousand four
04-Apr-07,the fourth of april two thousand seven
Génot,g e acute n o t
"Dec 1, 2009",december first two thousand nine
"June 26, 2011",june twenty sixth twenty eleven
747,seven hundred forty seven
400,four hundred
2,two point zero
Dec-02,december two thousand two
PDF,p d f
1993,nineteen ninety three
08-Oct-15,the eighth of october twenty fifteen
90s,nineties
4.5 million,four point five million
eds,e d s
E.,e
E. C.,e c
E. M.,e m
E.,e
J. A.,j a
2002,two thousand two
"December 23, 2013",december twenty third twenty thirteen
1937,nineteen thirty seven
"$50,000",fifty thousand dollars
07-Feb-04,the seventh of february two thousand four
20th,twentieth
TV,t v
100,one hundred
2006,two thousand six
4,four
1.57,one point five seven
-,-
19s,nineteens
O-,o
18,eighteen
O-,o
16,sixteen
21-May-10,the twenty first of may twenty ten
A.,a
"December 8, 2015",december eighth twenty fifteen
R.,r
M.,m
2009,two thousand nine
"April 3, 2011",april third twenty eleven
30-Jul-15,the thirtieth of july twenty fifteen
2.58 million,two point five eight million
2005,two thousand five
249,two hundred forty nine
9th,ninth
1873,eighteen seventy three
CCGS,c c g s
Apr-06,april two thousand six
JT,j t
"Dec 1, 2006",december first two thousand six
1997,nineteen ninety seven
pp,p p
23,twenty three
2001,two thousand one
W.,w
2006,two thousand six
"October 12, 2015",october twelfth twenty fifteen
R.,r
J.,j
eds,e d s
300,three hundred
Oct-07,october seventh
05-Sep-12,the fifth of september twenty twelve
RTE,r t e
6,six
1,one
2000s,two thousands
-,-
"99,443",ninety nine thousand four hundred forty three
2009,two thousand nine
2010,twenty ten
28,twenty eight
15,fifteen
6,six
11-09-2013,the eleventh of september twenty thirteen
1990,nineteen ninety
747,seven hundred forty seven
300,three hundred
06-May-08,the sixth of may two thousand eight
"June 2, 2013",june second twenty thirteen
1866,eighteen sixty six
L.,l
2012,twenty twelve
139,one hundred thirty nine
23,twenty three
60,sixty
1997,nineteen ninety seven
ISBN,i s b n
978-1-85285-161-3,nine seven eight sil one sil eight five two eight five sil one six one sil three
2,two
5,five
1973,nineteen seventy three
DVD,d v d
2,two
ISBN,i s b n
978-1599403724 ISBN 1599403722,nine seven eight sil one five nine nine four o three seven two four sil i s b n sil one five nine nine four o three seven two two
2,two
67,sixty seven
1934,nineteen thirty four
2010,twenty ten
&,and
DC,d c
2000,two thousand
1822,eighteen twenty two
500,five hundred
Sep-03,september third
R.,r
AJV,a j v
2008,two thousand eight
19-Jun-08,the nineteenth of june two thousand eight
1972,nineteen seventy two
1973,nineteen seventy three
1971,nineteen seventy one
"5,000",five thousand
1970s,nineteen seventies
1980s,nineteen eighties
1996,nineteen ninety six
SemEval-,s e m e v a l
2007,two o o seven
5,o five
2007,two thousand seven
2011,twenty eleven
IBGE,i b g e
06-Apr-16,the sixth of april twenty sixteen
211,two hundred eleven
21-Dec-12,the twenty first of december twenty twelve
424,four hundred twenty four
CFB,c f b
UFC,u f c
36,thirty six
24-Jul-04,the twenty fourth of july two thousand four
2011,twenty eleven
&,and
NBC,n b c
MC,m c
"October 2, 2012",october second twenty twelve
1879,eighteen seventy nine
1887,eighteen eighty seven
CBS,c b s
"August 20, 2012",august twentieth twenty twelve
01-Jul-10,the first of july twenty ten
47,forty seven
-,-
MLB,m l b
CG-,c g
DCO-,d c o
1932,nineteen thirty two
1903,nineteen o three
"June 25, 2015",june twenty fifth twenty fifteen
1999,nineteen ninety nine
3,three
1975,nineteen seventy five
1990,nineteen ninety
2005,two thousand five
02-Feb-16,the second of february twenty sixteen
"March 9, 2014",march ninth twenty fourteen
"July 11, 2015",july eleventh twenty fifteen
HQ,h q
A. L.,a l
1941,nineteen forty one
Nov-07,november two thousand seven
&,and
1908,nineteen o eight
"October 21, 2013",october twenty first twenty thirteen
1952,nineteen fifty two
pp,p p
"3, ",three
"1,",one
"July 3, 2015",july third twenty fifteen
"December 14, 2015",december fourteenth twenty fifteen
85,eighty five
1994,nineteen ninety four
20,twenty
"March 14, 2014",march fourteenth twenty fourteen
"February 14, 2012",february fourteenth twenty twelve
G.,g
Raoh,r a o h
1928,nineteen twenty eight
2001,two thousand one
2002,two thousand two
25-Nov-14,the twenty fifth of november twenty fourteen
the 15 August 1861,the fifteenth of august eighteen sixty one
6th,sixth
-,-
ASN,a s n
747,seven hundred forty seven
258,two hundred fifty eight
4,four
X,X
-,-
AXG,a x g
02-Apr-14,the second of april twenty fourteen
XIV,the fourteenth
"April 21, 2015",april twenty first twenty fifteen
7th,seventh
"April 22, 2009",april twenty second two thousand nine
II's,the second's
Oct-53,october nineteen fifty three
1955,nineteen fifty five
30-May-08,the thirtieth of may two thousand eight
56,fifty six
"March 13, 2012",march thirteenth twenty twelve
25-Jul-07,the twenty fifth of july two thousand seven
PDF,p d f
11/18/2005,november eighteenth two thousand five
2010,twenty ten
Feb-12,february twelfth
H.,h
&,and
E.,e
1991,nineteen ninety one
$3.8 million,three point eight million dollars
700,seven hundred
-,-
765,seven hundred sixty five
18-Aug-12,the eighteenth of august twenty twelve
22-Sep-12,the twenty second of september twenty twelve
"11,000",eleven thousand
"September 9, 2011",september ninth twenty eleven
14,fourteen
6,six
615,six hundred fifteen
632,six hundred thirty two
NBA,n b a
MVP,m v p
Paes,p a e's
38,thirty eight
2002,two thousand two
2009,two thousand nine
10,ten
"2,300",two thousand three hundred
1948,nineteen forty eight
Paes,p a e's
1997,nineteen ninety seven
"March 12, 2014",march twelfth twenty fourteen
1993,nineteen ninety three
01-May-12,the first of may twenty twelve
1966,nineteen sixty six
1806,eighteen o six
28-Feb-15,the twenty eighth of february twenty fifteen
2,two
7 ft,seven feet
30-Jan-14,the thirtieth of january twenty fourteen
FM,f m
1788,seventeen eighty eight
20,twenty
42,forty two
32,thirty two
80,eighty
"February 13, 2014",february thirteenth twenty fourteen
"January 8, 2012",january eighth twenty twelve
18-Aug-00,the eighteenth of august nineteen hundred
1832,eighteen thirty two
9,nine
26 October 1806,the twenty sixth of october eighteen o six
"July 5, 1989",july fifth nineteen eighty nine
-,-
65%,sixty five percent
11th,eleventh
2012,two thousand twelve
67%,sixty seven percent
21%,twenty one percent
1982,nineteen eighty two
N.C.,n c
"August 30, 2006",august thirtieth two thousand six
MVP,m v p
W.,w
1988,nineteen eighty eight
11th,eleventh
"August 6, 2015",august sixth twenty fifteen
2001,two thousand one
5,five
-,-
53%,fifty three percent
11th,eleventh
2012,two thousand twelve
54%,fifty four percent
14%,fourteen percent
2012,twenty twelve
2006,two thousand six
NLL,n l l
23,twenty three
2011,twenty eleven
MLB,m l b
1,one
B,B
P.K.,p k
04-Nov-05,the fourth of november two thousand five
0,zero
1,one
R.D.,r d
A.,a
2nd,second
2006,two thousand six
88,eighty eight
1974,nineteen seventy four
"July 5, 2001",july fifth two thousand one
&,and
"1,820 m",one thousand eight hundred twenty meters
"5,970 ft",five thousand nine hundred seventy feet
2011,twenty eleven
20th,twentieth
1918,nineteen eighteen
1785,seventeen eighty five
2015,twenty fifteen
9,nine
5,five
3.92,three point nine two
128.2,one hundred twenty eight point two
E.,e
1927,nineteen twenty seven
1945,nineteen forty five
NY,n y
1971,nineteen seventy one
ISBN,i s b n
0-8014-0617,o sil eight o one four sil o six one seven
-,-
XSnow,x s n o w
1996,nineteen ninety six
1997,nineteen ninety seven
3,three
20s,twenties
1985,nineteen eighty five
24-Feb-12,the twenty fourth of february twenty twelve
100 km,one hundred kilometers
eds,e d s
"May 4, 2010",may fourth twenty ten
2006,two thousand six
163,one hundred sixty three
689,six hundred eighty nine
-696,minus six hundred ninety six
"July 27, 2014",july twenty seventh twenty fourteen
54,fifty four
Mar-98,march nineteen ninety eight
9th,ninth
29-Oct-43,the twenty ninth of october nineteen forty three
2011,twenty eleven
"9,384",nine thousand three hundred eighty four
01-Jun-07,the first of june two thousand seven
12,twelve
1,one
"July 25, 2013",july twenty fifth twenty thirteen
"November 30, 1973",november thirtieth nineteen seventy three
Oct-08,october two thousand eight
1812,eighteen twelve
128,one hundred twenty eight
S.,s
1984,nineteen eighty four
1879,eighteen seventy nine
1901,nineteen o one
J. M.,j m
2008,two thousand eight
4,four
5,five
Feb-94,february nineteen ninety four
R.N.,r n
1833,eighteen thirty three
1882,eighteen eighty two
04-May-09,the fourth of may two thousand nine
38,thirty eight
-,-
U.S.,u s
28-Jul-14,the twenty eighth of july twenty fourteen
1989,nineteen eighty nine
9th,ninth
NBL,n b l
32,thirty two
1,one
1926,nineteen twenty six
71,seventy one
76,seventy six
"June 12, 1995",june twelfth nineteen ninety five
1940,nineteen forty
1941,nineteen forty one
"July 16, 2015",july sixteenth twenty fifteen
D.C.,d c
2007,two thousand seven
27-Sep-06,the twenty seventh of september two thousand six
25,twenty five
May-79,may nineteen seventy nine
Feb-83,february nineteen eighty three
1903,nineteen o three
B.,b
2007,two thousand seven
Mar-26,march twenty sixth
29-Mar-09,the twenty ninth of march two thousand nine
747,seven hundred forty seven
400,four hundred
WHAC,w h a c
Jul-99,july nineteen ninety nine
3,three
lst,l s t
1960,nineteen sixty
73,seventy three
747,seven hundred forty seven
X,X
1968,nineteen sixty eight
"2,000",two thousand
11-Mar-13,the eleventh of march twenty thirteen
7 May.,the seventh of may
UK,u k
66,sixty six
15-Sep-89,the fifteenth of september nineteen eighty nine
1867,eighteen sixty seven
"July 26, 2008",july twenty sixth two thousand eight
12-Jan-88,the twelfth of january nineteen eighty eight
DV,d v
571,five seven one
T,T
13-Dec-21,the thirteenth of december nineteen twenty one
"July 14, 2011",july fourteenth twenty eleven
10,ten
200,two hundred
"38,000",thirty eight thousand
100,one hundred
72.5,seventy two point five
iis,i i s
siue,s i u e
500,five hundred
1839,eighteen thirty nine
C.M.G.,c m g
2008,two thousand eight
BK,b k
25-May-08,the twenty fifth of may two thousand eight
LPO,l p o
II,two
10,ten
17,seventeen
30,thirty
141,one hundred forty one
360,three hundred sixty
12-02-2003,the twelfth of february two thousand three
NL-,n l
74,seventy four
31,thirty one
7,seven
